
台灣,#genre#
民視新聞,https://www.youtube.com/watch?v=ylYJSBUgaMA
三立財經,https://www.youtube.com/watch?v=CKjSm5ZeehE
中天新聞,https://www.youtube.com/watch?v=oIgbl7t0S_w
東森財經,https://www.youtube.com/watch?v=WHEPzbFA3hw
華視新聞,https://www.youtube.com/watch?v=wM0g8EoUZ_E
中視新聞,https://www.youtube.com/watch?v=TCnaIE_SAtM
台視新聞,https://www.youtube.com/watch?v=xL0ch83RAK8
寰宇新聞,https://www.youtube.com/watch?v=B7Zp3d6xXWw
鏡新聞,https://www.youtube.com/watch?v=5n0y6b0Q25o
TVBS新聞,https://www.youtube.com/watch?v=2mCSYvcfhtc
三立新聞,https://www.youtube.com/watch?v=2mCSYvcfhtc
東森新聞,https://www.youtube.com/watch?v=R2iMq5LKXco
4民視第一台,https://www.4gtv.tv/channel/4gtv-4gtv003?set=4&ch=1
5民視台灣台,https://www.4gtv.tv/channel/4gtv-4gtv001?set=4&ch=2
6民視,https://www.4gtv.tv/channel/4gtv-4gtv002?set=4&ch=3
9大愛電視,https://www.4gtv.tv/channel/4gtv-live007?set=4&ch=209
10中視,https://www.4gtv.tv/channel/4gtv-4gtv040?set=4&ch=4
12華視,https://www.4gtv.tv/channel/4gtv-4gtv041?set=4&ch=6
13三立綜合台,https://www.4gtv.tv/channel/4gtv-live207?set=4&ch=169
14客家電視台,https://www.4gtv.tv/channel/4gtv-4gtv043?set=4&ch=107
21新唐人亞太台,https://www.4gtv.tv/channel/4gtv-live050?set=4&ch=223
23ARIRANG阿里郎頻道,https://www.4gtv.tv/channel/4gtv-4gtv079?set=4&ch=189
25原住民族電視台,https://www.4gtv.tv/channel/4gtv-live014?set=4&ch=273
30LiveABC互動英語頻道,https://www.4gtv.tv/channel/4gtv-live030?set=4&ch=188
32ELTV生活英語台,https://www.4gtv.tv/channel/litv-longturn20?set=4&ch=106
42MOMO親子台,https://www.4gtv.tv/channel/4gtv-live107?set=4&ch=231
49東森購物一台,https://www.4gtv.tv/channel/4gtv-live047?set=4&ch=173
50鏡電視新聞台,https://www.4gtv.tv/channel/4gtv-4gtv075?set=4&ch=268
51東森新聞台,https://www.4gtv.tv/channel/4gtv-live114?set=4&ch=234
52華視新聞,https://www.4gtv.tv/channel/4gtv-4gtv052?set=4&ch=34
53民視新聞台,https://www.4gtv.tv/channel/litv-ftv13?set=4&ch=31
54三立新聞iNEWS,https://www.4gtv.tv/channel/4gtv-live089?set=4&ch=229
55TVBS新聞,https://www.4gtv.tv/channel/4gtv-live072?set=4&ch=129
56東森財經新聞台,https://www.4gtv.tv/channel/4gtv-live019?set=4&ch=211
57中視新聞,https://www.4gtv.tv/channel/4gtv-4gtv074?set=4&ch=33
58中天新聞台,https://www.4gtv.tv/channel/4gtv-4gtv009?set=4&ch=30
62SBN全球財經台,https://www.4gtv.tv/channel/4gtv-live060?set=4&ch=224
69東森購物二台,https://www.4gtv.tv/channel/4gtv-live046?set=4&ch=174
70民視綜藝台,https://www.4gtv.tv/channel/4gtv-4gtv004?set=4&ch=16
71豬哥亮歌廳秀,https://www.4gtv.tv/channel/4gtv-4gtv006?set=4&ch=113
76中天全民最大黨,https://www.4gtv.tv/channel/4gtv-live076?set=4&ch=248
105智林體育台,https://www.4gtv.tv/channel/4gtv-4gtv101?set=4&ch=58
106時尚運動X,https://www.4gtv.tv/channel/4gtv-4gtv014?set=4&ch=69
111民視旅遊台,https://www.4gtv.tv/channel/litv-ftv07?set=4&ch=61
112滾動力rollor,https://www.4gtv.tv/channel/4gtv-live012?set=4&ch=249
113亞洲旅遊台,https://www.4gtv.tv/channel/litv-longturn17?set=4&ch=250
120愛爾達生活旅遊台,https://www.4gtv.tv/channel/4gtv-live120?set=4&ch=237
121LUXE TV Channel,https://www.4gtv.tv/channel/4gtv-live121?set=4&ch=175
122TV5MONDE STYLE HD 生活時尚,https://www.4gtv.tv/channel/4gtv-live122?set=4&ch=178
123中天美食旅遊,https://www.4gtv.tv/channel/4gtv-live123?set=4&ch=251
125公視戲劇,https://www.4gtv.tv/channel/4gtv-4gtv042?set=4&ch=7
126民視影劇台,https://www.4gtv.tv/channel/litv-ftv09?set=4&ch=24
137金光布袋戲,https://www.4gtv.tv/channel/4gtv-live144?set=4&ch=236
157My Cinema Europe HD 我的歐洲電影,https://www.4gtv.tv/channel/4gtv-live157?set=4&ch=176
160好消息2台,https://www.4gtv.tv/channel/litv-ftv17?set=4&ch=8
164人間衛視,https://www.4gtv.tv/channel/4gtv-live008?set=4&ch=210
170半島國際新聞台,https://www.4gtv.tv/channel/litv-ftv10?set=4&ch=85
171VOA美國之音,https://www.4gtv.tv/channel/litv-ftv03?set=4&ch=86
173DW德國之聲,https://www.4gtv.tv/channel/4gtv-live071?set=4&ch=226
185國會頻道1,https://www.4gtv.tv/channel/4gtv-4gtv084?set=4&ch=170
186國會頻道2,https://www.4gtv.tv/channel/4gtv-4gtv085?set=4&ch=171
201經典電影台,https://www.4gtv.tv/channel/4gtv-live021?set=4&ch=201
202經典卡通台,https://www.4gtv.tv/channel/4gtv-live022?set=4&ch=202
203兒童卡通台,https://www.4gtv.tv/channel/4gtv-live009?set=4&ch=269
204精選動漫台,https://www.4gtv.tv/channel/4gtv-live024?set=4&ch=204
205華語戲劇台,https://www.4gtv.tv/channel/4gtv-live005?set=4&ch=244
206華語綜藝台,https://www.4gtv.tv/channel/4gtv-live006?set=4&ch=245
207戲劇免費看,https://www.4gtv.tv/channel/4gtv-live010?set=4&ch=270
208電影免費看,https://www.4gtv.tv/channel/4gtv-live013?set=4&ch=272

