4k,#genre#
4K花园娱乐 UHD,http://223.110.246.80/ott.js.chinamobile.com/PLTV/4/224/3221227746/index.m3u8
4K花园影视 UHD,http://223.110.246.80/ott.js.chinamobile.com/PLTV/4/224/3221227749/index.m3u8
4K花园电影 UHD,http://223.110.246.80/ott.js.chinamobile.com/PLTV/4/224/3221227813/index.m3u8
4K UHD,http://223.110.246.80/ott.js.chinamobile.com/PLTV/4/224/3221227896/index.m3u8
4K体育赛事 UHD,http://39.134.39.31/PLTV/88888888/224/3221226227/index.m3u8
4K体育 UHD,http://39.134.39.31/PLTV/88888888/224/3221226351/index.m3u8
香港频道,#genre#
无线新闻,https://p2.weizan.cn/1646497941/673946820532880688/live.m3u8
无线翡翠,https://p2.weizan.cn/1646497941/013205559193952308/live.m3u8
无线 J2,https://p2.weizan.cn/1646497941/269664979080385265/live.m3u8
有线603,https://p2.weizan.cn/1646497941/726330645979324846/live.m3u8
有線新聞,https://p2.weizan.cn/1646497941/697113090439139173/live.m3u8
卫视中文,http://50.7.61.148:30080/Entry/starchinese
TVBS综合,http://50.7.61.148:30080/Entry/tvbs
三立台灣,https://setlive-lh.akamaihd.net/i/settaiwan_1@301196/index_1080_av-b.m3u8?sd=10&rebase=on
三立都會,https://setlive-lh.akamaihd.net/i/setmetro_1@132201/index_1080_av-b.m3u8?sd=10&rebase=on
东森幼幼,http://www.1314lm.com/mylive/102/2025/index.m3u8
卫视中文,http://www.1314lm.com/mylive/102/2031/index.m3u8
年代新闻,http://www.1314lm.com/mylive/102/2050/index.m3u8
东森新闻,http://www.1314lm.com/mylive/102/2051/index.m3u8
中天新闻,http://www.1314lm.com/mylive/102/2052/index.m3u8
民视新闻,http://www.1314lm.com/mylive/102/2053/index.m3u8
TVBS新闻,http://www.1314lm.com/mylive/102/2055/index.m3u8 
TVBS,http://www.1314lm.com/mylive/102/2056/index.m3u8
东森财经,http://www.1314lm.com/mylive/102/2057/index.m3u8 
非凡新闻,http://www.1314lm.com/mylive/102/2058/index.m3u8
卫视电影,http://www.1314lm.com/mylive/102/2061/index.m3u8
东森电影,http://www.1314lm.com/mylive/102/2062/index.m3u8
纬来电影,http://www.1314lm.com/mylive/102/2063/index.m3u8
