
🇹🇼臺灣電視,#genre#

卫视中文台,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=941624&extension=ts&play_token=xmfFOBilCP
卫视中文台,http://185.243.7.13/play/live.php?mac=00:1A:79:BF:D2:44&extension=ts&play_token=1pLS8RVt8V&stream=941624
卫视电影台,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=941625&extension=ts&play_token=UX6nxpu1TT
星卫电影台,http://23.237.10.66:16359
星卫电影台,http://185.243.7.13/play/live.php?mac=00:1A:79:BF:D2:44&extension=ts&play_token=1pLS8RVt8V&stream=941625
星卫电影台,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=941625&extension=ts&play_token=vFR5CkmzbA
HBO 2,http://208.115.225.174:14140
HBO Mundi,http://208.115.225.174:14148
HBO signature,http://208.115.225.174:14160
HBO,http://208.115.225.174:14165
民视HD,http://23.237.10.66:16334
民视HD,http://120.84.96.130:808/hls/34/index.m3u8
民视HD,http://107.151.203.111:2209/135/us50.php?id=msk
民视HD,http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8
民视新闻HD,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=156389&extension=ts&play_token=UEKTIim7lP
民视新闻HD,http://123.51.230.108:18663/.m3u8
民视新闻HD,http://38.64.72.148/hls/modn/list/4012/playlist.m3u8
民视新闻HD,http://2023.stream-link.org/playlist/ftv_news.flv
民视新闻HD,http://2023.stream-link.org/playlist/ftv_news
三立新闻HD,http://123.51.230.64:18543/http/192.168.1.9:8081/hls/65/807/ch18.m3u8
三立新闻HD,http://seb.sason.top/sc/slinews_fhd.m3u8
三立新闻HD,https://ytm2.yuanhsing.cf/SETLIVE.m3u8
三立新闻HD,https://ytm2.yuanhsing.cf/setmoney159.m3u8
三立新闻HD,http://seb.sason.top/sc/sllive_fhd.m3u8
三立新闻HD,http://2023.stream-link.org/playlist/set_news.flv
三立新闻HD,http://2023.stream-link.org/playlist/set_news+.flv
三立国际台,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=156390&extension=ts&play_token=UEKTIim7lP
纬来综合HD,http://123.51.230.108:18540/.m3u8
纬来育乐HD,rtmp://119.81.124.89/sat/tv701
纬来日本HD,rtmp://119.81.124.89/sat/tv771
纬来日本HD,http://baidu.douyincdn.freetvtv.com/wlrb/m2.m3u8
纬来体育HD,http://123.51.230.108:18509/http/192.168.1.9:8081/hls/67/809/12_2440494.m3u8
纬来体育HD,http://123.51.230.108:18509/http/192.168.1.9:8081/hls/67/809/12_2440494.m3u8
纬来体育HD,http://123.51.230.108:18509/.m3u8
纬来体育HD,https://epg.pw/stream/39e8448c3fe78d23604c0555a3b80d2e706bd1fbc408150490b8a1191ff44a10.m3u8
东风37,http://123.51.230.108:18560/.m3u8
中视HD,rtmp://119.81.124.89/sat/tv091
中视新闻HD,http://seb.sason.top/sc/zsxw_fhd.m3u8
中视新闻HD,http://tvmvip110.club/live.php?id=zs
中视新闻HD,http://2023.stream-link.org/playlist/ctv_news.flv
中视新闻HD,http://2023.stream-link.org/playlist/ctv_news
中视菁采HD,http://www.336699.live:1935/blockfour/4gtv-4gtv064.stream/playlist.m3u8
TVBSHD,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=156402&extension=ts&play_token=UEKTIim7lP
TVBSHD,http://185.243.7.13/play/live.php?mac=00:1A:79:BF:D2:44&extension=ts&play_token=1pLS8RVt8V&stream=941621
TVBSHD,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=941621&extension=ts&play_token=vFR5CkmzbA
TVBS亚洲,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=153397&extension=ts&play_token=ICdnbP1fWe
TVBS亚洲,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=571185&extension=ts&play_token=wD7CZpooiF
TVBS亚洲,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=941621&extension=ts&play_token=vFR5CkmzbA
TVBS新闻HD,http://185.243.7.13/play/live.php?mac=00:1A:79:BF:D2:44&extension=ts&play_token=1pLS8RVt8V&stream=941622
TVBS新闻HD,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=941622&extension=ts&play_token=E9ymAxKoVJ
TVBS新闻HD,http://2023.stream-link.org/playlist/tvbs_news.flv
TVBS新闻HD,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=941622&extension=ts&play_token=vFR5CkmzbA
