【新聞&綜合】,#genre#
台視新聞,https://m.youtube.com/@TTV_NEWS/streams/1
中視新聞,https://m.youtube.com/@twctvnews/streams/1
華視新聞,https://m.youtube.com/@CtsTw/streams/1
人間衛視,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/playlist.m3u8&data=normal
台視(台灣節點),https://m.youtube.com/watch?v=uDqQo8a7Xmk
大愛一臺-臺灣直播(台灣節點),https://m.youtube.com/watch?v=oV_i3Hsl_zg
大愛二臺-臺灣直播(台灣節點),https://m.youtube.com/watch?v=OKvWtVoDR8I
大愛一臺-全球直播,https://m.youtube.com/watch?v=MIqUplvSRWA
大愛二臺-全球直播,https://m.youtube.com/watch?v=DTNkEm6jaqQ
公視(台灣節點),https://m.youtube.com/@ptslivestream/streams/1
公視新聞,https://m.youtube.com/@PNNPTS/streams/1
公視台語台(台灣節點),https://m.youtube.com/channel/UCX6SRupi5lTDbIFJEOpReCQ/streams/1
好消息,https://dqhxk7sbp7xog.cloudfront.net/osmflivech1.m3u8&data=normal$decoder=2
好消息,https://live.streamingfast.net/osmflivech1.m3u8&data=normal$decoder=2
(美)國家地理頻道,https://m.youtube.com/@NatGeo/streams/1
(美)國家地理頻道2,https://m.youtube.com/@NatGeo/streams/2
(美)國家地理頻道野生,https://m.youtube.com/@NatGeoWild/streams/1
(美)國家地理頻道野生2,https://m.youtube.com/@NatGeoWild/streams/2
(美)國家地理頻道兒童,https://m.youtube.com/@natgeokids/streams/1
(美)Love Nature 4K,https://d18dyiwu97wm6q.cloudfront.net/playlist.m3u8&data=normal
(美)BBC Earth,https://d206rrc0yoxllg.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-staxtq3pp4n9p/BBC_Earth_US.m3u8&data=normal
中天亞洲台,https://m.youtube.com/@CtiAsia/streams/1
東森新聞,https://m.youtube.com/watch?v=LuQ4S-i5zoE
東森LIVE(台灣用)(代理),https://clonglii.serv00.net/youtube_d.php?id=E0zhe2gkXBs&data=normal
東森LIVE,https://m.youtube.com/watch?v=E0zhe2gkXBs
