台灣頻道,#genre#
amc 電影台,http://4gtv.livednow.dpdns.org/4gtv-4gtv017/index.m3u8
amc 電影台,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv017/index.m3u8
Arirang TV,http://4gtv.livednow.dpdns.org/4gtv-4gtv079/index.m3u8
Arirang TV,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv079/index.m3u8
BLOOMBERG TV,http://4gtv.livednow.dpdns.org/4gtv-live059/index.m3u8
CI 罪案偵查頻道,http://4gtv.livednow.dpdns.org/4gtv-live027/index.m3u8
Cinema World,http://4gtv.livednow.dpdns.org/4gtv-live069/index.m3u8
CLASSICA 古典樂,http://4gtv.livednow.dpdns.org/4gtv-4gtv059/index.m3u8
CLASSICA 古典樂,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv059/index.m3u8
CNBC Asia 財經台,http://4gtv.livednow.dpdns.org/4gtv-live130/index.m3u8
DreamWorks,http://4gtv.livednow.dpdns.org/4gtv-live017/index.m3u8
DW德國之聲,http://4gtv.livednow.dpdns.org/4gtv-live071/index.m3u8
ELTA生活旅遊,http://4gtv.livednow.dpdns.org/4gtv-live120/index.m3u8
ELTA娛樂,http://4gtv.livednow.dpdns.org/4gtv-4gtv070/index.m3u8
ELTA娛樂,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv070/index.m3u8
ELTV生活英語台,http://4gtv.livednow.dpdns.org/li-litv-longturn20/index.m3u8
ELTV生活英語台,http://4gtv.livednow.dpdns.org/litv-longturn20/index.m3u8
ELTV生活英語台,http://4gtv.livednow.dpdns.org/of-litv-longturn20/index.m3u8
FRANCE24 英文台,http://4gtv.livednow.dpdns.org/4gtv-live146/index.m3u8
FUN 4K探索娛樂,http://4gtv.livednow.dpdns.org/4gtv-live011/index.m3u8
GINX Esports TV,http://4gtv.livednow.dpdns.org/4gtv-4gtv053/index.m3u8
GINX Esports TV,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv053/index.m3u8
Global Trekker,http://4gtv.livednow.dpdns.org/4gtv-live112/index.m3u8
HITS,http://4gtv.livednow.dpdns.org/4gtv-live620/index.m3u8
INULTRA,http://4gtv.livednow.dpdns.org/4gtv-live096/index.m3u8
Lifetime,http://4gtv.livednow.dpdns.org/4gtv-live029/index.m3u8
LiveABC 互動英語台,http://4gtv.livednow.dpdns.org/4gtv-live030/index.m3u8
LOVE NATURE,http://4gtv.livednow.dpdns.org/4gtv-live208/index.m3u8
LUXE TV,http://4gtv.livednow.dpdns.org/4gtv-live121/index.m3u8
MagellanTV頻道,http://4gtv.livednow.dpdns.org/4gtv-live123/index.m3u8
MEZZO LIVE HD,http://4gtv.livednow.dpdns.org/4gtv-4gtv083/index.m3u8
MEZZO LIVE HD,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv083/index.m3u8
MOMO親子,http://4gtv.livednow.dpdns.org/4gtv-live107/index.m3u8
MTV Live,http://4gtv.livednow.dpdns.org/4gtv-live025/index.m3u8
Nick Jr.,http://4gtv.livednow.dpdns.org/4gtv-live032/index.m3u8
Nickelodeon,http://4gtv.livednow.dpdns.org/4gtv-live105/index.m3u8
Pet Club TV,http://4gtv.livednow.dpdns.org/4gtv-live110/index.m3u8
ROCK Action,http://4gtv.livednow.dpdns.org/4gtv-live138/index.m3u8
ROCK Entertainment,http://4gtv.livednow.dpdns.org/4gtv-live080/index.m3u8
SBN 全球財經台,http://4gtv.livednow.dpdns.org/4gtv-live060/index.m3u8
