新聞頻道,#genre#
台視新聞台,http://176868.cloud/f200f4fb14a8971e98283c7514d2aed3/ea967d623d200d0ff4e50afcadd7b58e/e907a369cc500c71c19875c765fdab28/index.m3u8
台視新聞台,http://176868.cloud/715ce91702f37fa5eff7201fc4fec41d/ea967d623d200d0ff4e50afcadd7b58e/68d50fbb8fa2cc32eb9289cddcd6126a/index.m3u8
中視新聞台,http://176868.cloud/b865b660f621d55f216a260acf195938/ea967d623d200d0ff4e50afcadd7b58e/17d542405d217165ab42c13cc9027f05/index.m3u8
中視新聞台,http://176868.cloud/2180bc938286bb749a0bb05f15e333bc/ea967d623d200d0ff4e50afcadd7b58e/64beac19474e9618efb940b747cdab16/index.m3u8
中視新聞台,http://176868.cloud/22f569830e3e4d2051388ecd076e450e/ea967d623d200d0ff4e50afcadd7b58e/30829deb60f970f28852118d96848ce5/index.m3u8
中視新聞台,http://176868.cloud/d1ee3b4216a4a3f47f3b5eade6d1bec0/ea967d623d200d0ff4e50afcadd7b58e/24a09af2da14535802e8bfb024bc2c4e/index.m3u8
華視新聞,http://176868.cloud/76772dd2356f96547a72bbe646d7c0c1/ea967d623d200d0ff4e50afcadd7b58e/de3f56fcc0b25b1d5a98b5b5c61b6e59/index.m3u8
華視新聞,http://176868.cloud/1ff41e3d73ea1a02330e1c5cc3c98583/ea967d623d200d0ff4e50afcadd7b58e/36475e1d9b19ed7459362e70c6839d49/index.m3u8
華視新聞,http://176868.cloud/0712f136fe4ad5fa984af6a6a432196f/ea967d623d200d0ff4e50afcadd7b58e/c87b3eef52b5bfd78b9310d34f6253bd/index.m3u8
華視新聞,http://176868.cloud/5cae948eacffa4a8c0ee21d3a1ba473b/ea967d623d200d0ff4e50afcadd7b58e/70c2937ff5ddd8fb9a64475f6932583c/index.m3u8
華視新聞,http://176868.cloud/f93b2a9e1affabbfb6bdd44f8e13d743/ea967d623d200d0ff4e50afcadd7b58e/7d24eeb4f7d7f08bfb0b4db85a44be4e/index.m3u8
民視新聞台,http://176868.cloud/c36debd16f6e5f04461c62dee0b0e2bb/ea967d623d200d0ff4e50afcadd7b58e/20d3ad97742f3abe5b90acd3f24ef357/index.m3u8
民視新聞台,http://176868.cloud/854f5485cbd10e1719f7f799652c0bd4/ea967d623d200d0ff4e50afcadd7b58e/10cc767e44da3fcc55c08cb19a2897f9/index.m3u8
民視新聞台,http://176868.cloud/ef55c4354a33eecfbbee9038c3bc2f89/ea967d623d200d0ff4e50afcadd7b58e/55b736b0223fb95194ae7ef3090c0b75/index.m3u8
民視新聞台,http://176868.cloud/a60942d688c9f8cb1e75383bf89de774/ea967d623d200d0ff4e50afcadd7b58e/13c90e640f457c4644a8a26cca7f6cac/index.m3u8
民視新聞台,http://176868.cloud/9e1750cbc1e904ca0e406208ceb9f430/ea967d623d200d0ff4e50afcadd7b58e/8ce65710a8266427691c20dfb4a75710/index.m3u8
民視新聞台,http://176868.cloud/c598091f0d6a9ecedd2c987a660df390/ea967d623d200d0ff4e50afcadd7b58e/e3264b971be0e1aa3610c1e90eed5b24/index.m3u8
TVBS新聞台,http://176868.cloud/dee1c2f5e7c03623d4a3bf7eae8fe501/ea967d623d200d0ff4e50afcadd7b58e/d7d0e0b7292d8cb02cde3c478948a618/index.m3u8
TVBS新聞台,http://176868.cloud/72be0fc709eb44f412db005237bc2fa2/ea967d623d200d0ff4e50afcadd7b58e/77370a7374eca4710ff8acbb1941c0b4/index.m3u8
TVBS新聞台,http://176868.cloud/eb5a20af9b3aeace622e0e439e96ad2e/ea967d623d200d0ff4e50afcadd7b58e/2bec24bf65df94bf216079f891f1e129/index.m3u8
TVBS新聞台,http://176868.cloud/e530089ae1183fdde5c4053f371c73e4/ea967d623d200d0ff4e50afcadd7b58e/349eca62c9aeed1dd85381924137a6c2/index.m3u8
TVBS新聞台,http://176868.cloud/bd9db791d1747de27bd127e9e4c9dde3/ea967d623d200d0ff4e50afcadd7b58e/1d08c9573f223d517943fd20c6bc0090/index.m3u8
TVBS新聞台,http://176868.cloud/7c6e6409c4030bf05fd069e243b6d92f/ea967d623d200d0ff4e50afcadd7b58e/e6b0d35324cdfd4c9caebb3015133051/index.m3u8
壹電視新聞,http://176868.cloud/7c49c16dcfba33c3ceb689e79f4ad5d0/ea967d623d200d0ff4e50afcadd7b58e/84fc464312395523e32204b9c0cb714a/index.m3u8
壹電視新聞,http://176868.cloud/c39d54e4323203f75fd52bcbf8446baa/ea967d623d200d0ff4e50afcadd7b58e/b7e9d90e427aa45ca9091c55e0cd1b86/index.m3u8
東森新聞,http://176868.cloud/37db7e5432fdc63c4cabe2e4a121af8f/ea967d623d200d0ff4e50afcadd7b58e/5cd186fea8e426602f9ac06919903253/index.m3u8
東森新聞,http://176868.cloud/0f60b0f4025486f10772cd9b903c5140/ea967d623d200d0ff4e50afcadd7b58e/52b79bbac3ac54ff4906dd4f1cce284d/index.m3u8
東森新聞,http://176868.cloud/196224ebc2982dc8241974471d970fd3/ea967d623d200d0ff4e50afcadd7b58e/4abe0baa8f05c3db433e5a9dc245d28f/index.m3u8
東森新聞,http://176868.cloud/a041522445892e0dc1793a29a73fde9e/ea967d623d200d0ff4e50afcadd7b58e/30c976704776d2d7ee28cb8e681122ba/index.m3u8
東森新聞,http://176868.cloud/856011d09ae3228a18e381e58bae9af7/ea967d623d200d0ff4e50afcadd7b58e/442aa1ce6ecbe7bae03115a5b3a3b30b/index.m3u8
東森新聞,http://176868.cloud/3703e020aaa2331e32a1ee1ac4628859/ea967d623d200d0ff4e50afcadd7b58e/f88bbfc5f7056ed35b4b61029dc3f7e2/index.m3u8
中天新聞,http://176868.cloud/7fb2c8a95891c83aa938d991f862f911/ea967d623d200d0ff4e50afcadd7b58e/952b1557cdc10e49afdd05e13a69119d/index.m3u8
中天新聞,http://176868.cloud/0f30bfacedeab33112e99beb4b725b1e/ea967d623d200d0ff4e50afcadd7b58e/0d252f0e9d09bef17313501f9b1539a6/index.m3u8
中天新聞,http://176868.cloud/55bc3093bbdec4fd7bb2cdf888011434/ea967d623d200d0ff4e50afcadd7b58e/a7e011ac2a3d6f89c0c31ce9e45fa837/index.m3u8
中天新聞,http://176868.cloud/d8800bd869c85ef6d872ec236e20e32b/ea967d623d200d0ff4e50afcadd7b58e/a4eabfe0d8f2ec0ad81b2377663e81b7/index.m3u8
中天新聞,http://176868.cloud/4df87fda73414f11047f60192da796e4/ea967d623d200d0ff4e50afcadd7b58e/ec8c0168309db8e5185b5d69bc063c76/index.m3u8
三立新聞,http://176868.cloud/f325f83f1e6d15cf56ac523aadf2cc0f/ea967d623d200d0ff4e50afcadd7b58e/e3d761541c925e720cf235a9c6dc313f/index.m3u8
三立新聞,http://176868.cloud/639c98e2d361557485213d172e888593/ea967d623d200d0ff4e50afcadd7b58e/a20105c3affc0785f361cdd41dfb7be5/index.m3u8
三立新聞,http://176868.cloud/73c60d7c5b7d01fd21ba52585c67e1fd/ea967d623d200d0ff4e50afcadd7b58e/6fc3441951c201463e2448cc5205de6a/index.m3u8
