💝台湾频道👉秒播,#genre#
123,rtmp://69.230.192.222/live/bgt
cnn,http://hotelplay.net/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/488932.ts#http://hdtvtw.com/jrlive.php?id=PhoenixChineseMY
民視,http://hotelplay.net/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/488996.ts
民視（備）,http://hotelplay.net/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476986.ts
人间卫视,http://hotelplay.net/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/488957.ts
台視,http://hotelplay.net/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/488998.ts
台視（备）,http://hotelplay.net/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476982.ts
台視（备2）,http://hotelplay.net/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/507781.ts
大愛電視,http://hotelplay.net/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/477082.ts
中視 HD,http://hotelplay.net/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476983.ts
中視（備）,http://hotelplay.net/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/488999.ts
中視（備）,https://fake-stream.livednow.com/4gtv/4gtv-4gtv040?token=ca72b6ff5d757ea06da5c401301a3f49
霹雳台湾,http://hotelplay.net/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/488941.ts
華視,http://hotelplay.net/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476985.ts
華視（備）,http://hotelplay.net/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/488997.ts
華視（備）,https://fake-stream.livednow.com/4gtv/6?token=18b4ded23621c0d991b67544d09e866f
公視,http://hotelplay.net/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476984.ts
公視（備）,http://hotelplay.net/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/489000.ts
幸福空間居家台,http://hotelplay.net/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/488986.ts
好消息,http://hotelplay.net/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476227.ts
原住民頻道,http://hotelplay.net/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476228.ts
客家電視台,http://hotelplay.net/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476229.ts
客家电视台（備）,https://fake-stream.livednow.com/4gtv/107?token=687876a0addb2cb119e8f094cb9d5a09
探索頻道,http://hotelplay.net/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476277.ts
tlc旅遊台,http://hotelplay.net/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/488939.ts
動物星球,http://hotelplay.net/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/477088.ts
CN卡通,http://hotelplay.net/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476247.ts
迪士尼1,http://hotelplay.net/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/495450.ts
Momo親子台,http://hotelplay.net/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/477060.ts
momo亲子台（备）,http://hotelplay.net/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/508248.ts
