YouTube「线路1」,#genre#
公視新聞,https://www.goodiptv.club/youtube/quwqlazU-c8
鏡新聞,https://www.goodiptv.club/youtube/5n0y6b0Q25o
華視新聞,https://www.goodiptv.club/youtube/wM0g8EoUZ_E
中視新聞,https://www.goodiptv.club/youtube/TCnaIE_SAtM
中天新聞,https://www.goodiptv.club/youtube/oIgbl7t0S_w
中天新聞2台,https://www.goodiptv.club/youtube/WPfPjbOLNfE
民視新聞,https://www.goodiptv.club/youtube/ylYJSBUgaMA
三立新聞,https://www.goodiptv.club/youtube/oZdzzvxTfUY
三立新聞2台,https://www.goodiptv.club/youtube/CKjSm5ZeehE
三立12小時新聞,https://www.goodiptv.club/youtube/MzyekdjkblA
東森新聞,https://www.goodiptv.club/youtube/LuQ4S-i5zoE
TVBS 55,https://www.goodiptv.club/youtube/m_dhMSvUCIc
寰宇新聞,https://www.goodiptv.club/youtube/6IquAgfvYmc
寰宇新聞台灣台,https://www.goodiptv.club/youtube/w87VGpgd90U
台視新聞,https://www.goodiptv.club/youtube/xL0ch83RAK8
非凡大探索 台北美食,https://www.goodiptv.club/youtube/rQUP8Ck27gc
非凡大探索 台中美食,https://www.goodiptv.club/youtube/T2udU5Crz4I
非凡大探索 高雄美食,https://www.goodiptv.club/youtube/bOcfle08bWA
MIT 台灣誌,https://www.goodiptv.club/youtube/9d4ggywa01w
大陸尋奇,https://www.goodiptv.club/youtube/fl1iFkAWcVU
亞洲美食頻道,https://www.goodiptv.club/youtube/nUzOmgx3RvM
台灣啟示錄,https://www.goodiptv.club/youtube/0qb7ND0_E6k
中廣流行網,https://www.goodiptv.club/youtube/TsiMLrOSY5U
momo購物一台,https://www.goodiptv.club/youtube/_pZQ1Lk0xMA
momo購物二台,https://www.goodiptv.club/youtube/xbNWkUyxQGM
東森購物CH34,https://www.goodiptv.club/youtube/_Vlzn9qAHD4
東森購物CH46,https://www.goodiptv.club/youtube/Z50JFuNgvB0
東森購物CH47,https://www.goodiptv.club/youtube/ViJ3XiN6Q3M
東森購物CH60,https://www.goodiptv.club/youtube/u0NYyH3ZesE
ViVa TV 美好購物1台,https://www.goodiptv.club/youtube/7IyxOiGMLgw
ViVa TV 美好購物2台,https://www.goodiptv.club/youtube/lEXITHxcagI
東森財經新聞,https://www.goodiptv.club/youtube/WHEPzbFA3hw
東森財經股市,https://www.goodiptv.club/youtube/LbS-xQ67fos
三立 iNEWS,https://www.goodiptv.club/youtube/CKjSm5ZeehE
寰宇財經台,https://www.goodiptv.club/youtube/25SE1bbTv9.m3u8k
非凡商業台,https://www.goodiptv.club/youtube/JTAwlv6pzcQ
全球財經台,https://www.goodiptv.club/youtube/LUzqZHSIqWc
運通財經台,https://www.goodiptv.club/youtube/7_DEvPyHImI
中廣新聞網,https://www.goodiptv.club/youtube/DXCypeML3bQ
94要客訴,https://www.goodiptv.club/youtube/eYQVaXGMrBU
狠狠抖內幕,https://www.goodiptv.club/youtube/live_stream
新聞大白話,https://www.goodiptv.club/youtube/Y491n5FecPE
