大师代理,#genre#
鳳凰衛視中文,http://47.239.163.171/HDTV/QQ群1047470024.php?id=1
鳳凰衛視资讯,http://ali.hlspull.yximgs.com/live/qwt_fhzx.flv
鳳凰衛視资讯,http://47.239.163.171/HDTV/QQ群1047470024.php?id=3
鳳凰衛視香港,http://ali.hlspull.yximgs.com/live/qwt_fhhk.flv
鳳凰衛視香港,http://47.239.163.171/HDTV/QQ群1047470024.php?id=5
香港有线新闻,http://47.239.163.171/HDTV/QQ群1047470024.php?id=6
TVB翡翠,http://ali.hlspull.yximgs.com/live/qwt_feicui.flv
TVB無綫新聞,http://47.239.163.171/HDTV/QQ群1047470024.php?id=8
TVB無綫新聞,http://47.239.163.171/HDTV/QQ群1047470024.php?id=9
TVB明珠,http://47.239.163.171/HDTV/QQ群1047470024.php?id=10
TVBplus,http://47.239.163.171/HDTV/QQ群1047470024.php?id=11
TVB星河,http://47.239.163.171/HDTV/QQ群1047470024.php?id=12
VIU TV,http://47.239.163.171/HDTV/QQ群1047470024.php?id=14
VIUTV6,http://47.239.163.171/HDTV/QQ群1047470024.php?id=15
NOW新闻,http://47.239.163.171/HDTV/QQ群1047470024.php?id=16
Now星影,http://47.239.163.171/HDTV/QQ群1047470024.php?id=17
Now体育,http://47.239.163.171/HDTV/QQ群1047470024.php?id=18
Now英超1,http://47.239.163.171/HDTV/QQ群1047470024.php?id=19
HOY77,http://47.239.163.171/HDTV/QQ群1047470024.php?id=20
TVB娛樂新聞,http://47.239.163.171/HDTV/QQ群1047470024.php?id=21
TVB黃金翡翠,http://47.239.163.171/HDTV/QQ群1047470024.php?id=22
TVB千禧經典,http://47.239.163.171/HDTV/QQ群1047470024.php?id=23
TVB亞洲劇,http://47.239.163.171/HDTV/QQ群1047470024.php?id=24
TVB華語劇,http://47.239.163.171/HDTV/QQ群1047470024.php?id=25
TVB亚洲综合,http://47.239.163.171/HDTV/QQ群1047470024.php?id=26
TVB戏曲,http://47.239.163.171/HDTV/QQ群1047470024.php?id=28
TVB粤语片,http://47.239.163.171/HDTV/QQ群1047470024.php?id=29
MyTV儿童,http://47.239.163.171/HDTV/QQ群1047470024.php?id=30
TVB功夫粤,http://47.239.163.171/HDTV/QQ群1047470024.php?id=31
popc,http://47.239.163.171/HDTV/QQ群1047470024.php?id=33
美亚电影(港),http://47.239.163.171/HDTV/QQ群1047470024.php?id=34
美亚电影(台),http://47.239.163.171/HDTV/QQ群1047470024.php?id=35
壹新闻,http://47.239.163.171/HDTV/QQ群1047470024.php?id=36
中天新闻,http://47.239.163.171/HDTV/QQ群1047470024.php?id=37
中天综合,http://47.239.163.171/HDTV/QQ群1047470024.php?id=38
中天娱乐,http://47.239.163.171/HDTV/QQ群1047470024.php?id=39
TVBS新闻,http://47.239.163.171/HDTV/QQ群1047470024.php?id=40
TVBSHD,http://47.239.163.171/HDTV/QQ群1047470024.php?id=41
壹新闻,http://47.239.163.171/HDTV/QQ群1047470024.php?id=42
年代新闻,http://47.239.163.171/HDTV/QQ群1047470024.php?id=43
非凡新闻,http://47.239.163.171/HDTV/QQ群1047470024.php?id=44
寰宇新闻,http://47.239.163.171/HDTV/QQ群1047470024.php?id=45
镜新闻,http://47.239.163.171/HDTV/QQ群1047470024.php?id=46
东森新闻,http://47.239.163.171/HDTV/QQ群1047470024.php?id=47
东森超视,http://47.239.163.171/HDTV/QQ群1047470024.php?id=48
东森综合,http://47.239.163.171/HDTV/QQ群1047470024.php?id=49
东森戏剧,http://47.239.163.171/HDTV/QQ群1047470024.php?id=50
东森电影,http://47.239.163.171/HDTV/QQ群1047470024.php?id=51
东森洋片,http://47.239.163.171/HDTV/QQ群1047470024.php?id=52
纬来电影,http://47.239.163.171/HDTV/QQ群1047470024.php?id=53
纬来体育,http://47.239.163.171/HDTV/QQ群1047470024.php?id=54
纬来综合,http://47.239.163.171/HDTV/QQ群1047470024.php?id=55
纬来戏剧,http://47.239.163.171/HDTV/QQ群1047470024.php?id=56
龙祥时代,http://47.239.163.171/HDTV/QQ群1047470024.php?id=57
龙华偶像,http://47.239.163.171/HDTV/QQ群1047470024.php?id=58
龙华戏剧,http://47.239.163.171/HDTV/QQ群1047470024.php?id=59
龙华电影,http://47.239.163.171/HDTV/QQ群1047470024.php?id=60
龙华洋片,http://47.239.163.171/HDTV/QQ群1047470024.php?id=61
龙华经典,http://47.239.163.171/HDTV/QQ群1047470024.php?id=62
三立新闻,http://47.239.163.171/HDTV/QQ群1047470024.php?id=63
八大综合,http://47.239.163.171/HDTV/QQ群1047470024.php?id=64
八大戏剧,http://47.239.163.171/HDTV/QQ群1047470024.php?id=65
靖天电影,http://47.239.163.171/HDTV/QQ群1047470024.php?id=66
靖洋戏剧,http://47.239.163.171/HDTV/QQ群1047470024.php?id=67
爱尔达影剧,http://47.239.163.171/HDTV/QQ群1047470024.php?id=68
爱尔达综合,http://47.239.163.171/HDTV/QQ群1047470024.php?id=69
HBOHD,http://47.239.163.171/HDTV/QQ群1047470024.php?id=70
HBO原创,http://47.239.163.171/HDTV/QQ群1047470024.php?id=71
HBO强档,http://47.239.163.171/HDTV/QQ群1047470024.php?id=72
HBO家庭,http://47.239.163.171/HDTV/QQ群1047470024.php?id=73
好莱坞电影,http://47.239.163.171/HDTV/QQ群1047470024.php?id=74
AMC电影,http://47.239.163.171/HDTV/QQ群1047470024.php?id=75
中视,http://47.239.163.171/HDTV/QQ群1047470024.php?id=76
中视新闻,http://47.239.163.171/HDTV/QQ群1047470024.php?id=77
中视经典,http://47.239.163.171/HDTV/QQ群1047470024.php?id=78
公视,http://47.239.163.171/HDTV/QQ群1047470024.php?id=79
公视戏剧,http://47.239.163.171/HDTV/QQ群1047470024.php?id=80
民视,http://47.239.163.171/HDTV/QQ群1047470024.php?id=81
民视影剧,http://47.239.163.171/HDTV/QQ群1047470024.php?id=82

